date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:10	189/189	---M--	404	error ('Not%20found')	text/html	date:Tue,%2011%20Nov%202014%2021:59:09%20GMT	http://localhost:50000/robots.txt		(from )
16:59:12	6066/6066	---M--	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2021:59:12%20GMT	http://localhost:50000/	C:/My%20Web%20Sites/tanks/localhost_50000/index.html	(from )
16:59:15	289/289	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Nov%202014%2021:59:14%20GMT	http://localhost:50000/debugger-inspect.png	C:/My%20Web%20Sites/tanks/localhost_50000/debugger-inspect.png	(from http://localhost:50000/)
16:59:23	83062/83062	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:16%20GMT	http://localhost:50000/jquery-2.0.0.min.js	C:/My%20Web%20Sites/tanks/localhost_50000/jquery-2.0.0.min.js	(from http://localhost:50000/)
16:59:23	13671/13671	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:20%20GMT	http://localhost:50000/pathfind.js	C:/My%20Web%20Sites/tanks/localhost_50000/pathfind.js	(from http://localhost:50000/)
16:59:25	39858/39858	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:22%20GMT	http://localhost:50000/common_prelude.js	C:/My%20Web%20Sites/tanks/localhost_50000/common_prelude.js	(from http://localhost:50000/)
16:59:25	26920/26920	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:25%20GMT	http://localhost:50000/preview_prelude.js	C:/My%20Web%20Sites/tanks/localhost_50000/preview_prelude.js	(from http://localhost:50000/)
16:59:28	21/21	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:27%20GMT	http://localhost:50000/shaders.js	C:/My%20Web%20Sites/tanks/localhost_50000/shaders.js	(from http://localhost:50000/)
16:59:33	129/129	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:33%20GMT	http://localhost:50000/Arr_common.js	C:/My%20Web%20Sites/tanks/localhost_50000/Arr_common.js	(from http://localhost:50000/)
16:59:35	63860/63860	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:29%20GMT	http://localhost:50000/glwrap.js	C:/My%20Web%20Sites/tanks/localhost_50000/glwrap.js	(from http://localhost:50000/)
16:59:36	17229/17229	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:35%20GMT	http://localhost:50000/Arr_plugin.js	C:/My%20Web%20Sites/tanks/localhost_50000/Arr_plugin.js	(from http://localhost:50000/)
16:59:38	129/129	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:38%20GMT	http://localhost:50000/Mouse_common.js	C:/My%20Web%20Sites/tanks/localhost_50000/Mouse_common.js	(from http://localhost:50000/)
16:59:43	10699/10699	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:40%20GMT	http://localhost:50000/Mouse_plugin.js	C:/My%20Web%20Sites/tanks/localhost_50000/Mouse_plugin.js	(from http://localhost:50000/)
16:59:43	129/129	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:43%20GMT	http://localhost:50000/NinePatch_common.js	C:/My%20Web%20Sites/tanks/localhost_50000/NinePatch_common.js	(from http://localhost:50000/)
16:59:48	14688/14688	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:45%20GMT	http://localhost:50000/NinePatch_plugin.js	C:/My%20Web%20Sites/tanks/localhost_50000/NinePatch_plugin.js	(from http://localhost:50000/)
16:59:48	129/129	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:48%20GMT	http://localhost:50000/Particles_common.js	C:/My%20Web%20Sites/tanks/localhost_50000/Particles_common.js	(from http://localhost:50000/)
16:59:53	21652/21652	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:51%20GMT	http://localhost:50000/Particles_plugin.js	C:/My%20Web%20Sites/tanks/localhost_50000/Particles_plugin.js	(from http://localhost:50000/)
16:59:53	129/129	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:53%20GMT	http://localhost:50000/Sprite_common.js	C:/My%20Web%20Sites/tanks/localhost_50000/Sprite_common.js	(from http://localhost:50000/)
16:59:59	44731/44731	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:56%20GMT	http://localhost:50000/Sprite_plugin.js	C:/My%20Web%20Sites/tanks/localhost_50000/Sprite_plugin.js	(from http://localhost:50000/)
16:59:59	129/129	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2021:59:59%20GMT	http://localhost:50000/TiledBg_common.js	C:/My%20Web%20Sites/tanks/localhost_50000/TiledBg_common.js	(from http://localhost:50000/)
17:00:04	7170/7170	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2022:00:01%20GMT	http://localhost:50000/TiledBg_plugin.js	C:/My%20Web%20Sites/tanks/localhost_50000/TiledBg_plugin.js	(from http://localhost:50000/)
17:00:04	129/129	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Nov%202014%2022:00:03%20GMT	http://localhost:50000/Touch_common.js	C:/My%20Web%20Sites/tanks/localhost_50000/Touch_common.js	(from http://localhost:50000/)
